gene,pt1,pt2,pt3,pt4,pt5,pt6,pt7,SYMBOL,GENENAME
ENSCAFG00000000367,-1.328026196,-0.33923221,-0.748356847,1.549664978,-0.696363521,-1.851174088,-0.889467496,ENPP3,ectonucleotide pyrophosphatase/phosphodiesterase 3
ENSCAFG00000000376,-0.79657955,-0.435559207,-0.524738083,-0.512053413,-0.558841401,-0.624210641,-0.310903064,NA,NA
ENSCAFG00000000384,-1.406455856,0.46718796,-1.481362217,-1.792257182,-0.816903605,-1.720151288,-0.883574691,GRIP1,glutamate receptor interacting protein 1
ENSCAFG00000000399,1.21773079,0.571644496,0.305653099,0.618608908,0.401680636,1.119365416,1.159376952,LOC100683099,UL16-binding protein 1
ENSCAFG00000000429,-0.967465343,-0.402256099,-1.96270939,-1.6730518,-0.249126337,-1.414873527,-0.761608098,CCDC170,coiled-coil domain containing 170
ENSCAFG00000000430,-2.588509369,-2.251485279,-2.695868811,-2.726455432,-0.891177764,-2.407375123,-2.485896857,ESR1,estrogen receptor 1
ENSCAFG00000000432,0.385548336,2.890451413,1.253496144,0.363310357,0.208595037,1.431292691,0.803504775,CCT2,chaperonin containing TCP1 subunit 2
ENSCAFG00000000443,0.431220154,1.255443884,1.405463106,0.686987437,0.776900737,2.807138606,1.946376556,TUBB,tubulin beta class I
ENSCAFG00000000446,0.966633899,-0.765692426,-1.421948149,-1.600057634,-1.111501615,-2.867548677,-0.443680589,PTPRB,protein tyrosine phosphatase receptor type B
ENSCAFG00000000450,-2.722234234,-1.010042664,-0.971427318,-0.593929701,-0.412398225,-1.279598461,-0.685131841,TSPAN8,tetraspanin 8
ENSCAFG00000000451,-0.998660324,-1.10154595,-0.959704415,-1.939726564,0.197504785,-0.489658646,-0.142250351,LGR5,leucine rich repeat containing G protein-coupled receptor 5
ENSCAFG00000000469,0.618702662,0.693961104,0.673670515,0.452775735,0.42480628,1.600011875,0.490901111,POP1,"POP1 homolog, ribonuclease P/MRP subunit"
ENSCAFG00000000480,0.667578265,0.712533236,1.375264287,0.215862103,0.704726237,0.403851581,0.22394744,NIPAL2,NIPA like domain containing 2
ENSCAFG00000000483,-0.05891404,0.587058871,0.877421343,0.366590399,0.662979711,1.802366018,1.224989131,TCF19,transcription factor 19
ENSCAFG00000000519,-0.522053224,-0.838599589,-0.434945638,0.001962456,-0.242567012,-0.519360287,-0.880027451,LOC474655,zinc finger protein 474
ENSCAFG00000000547,-0.011434241,1.479266427,1.410647627,1.304879057,0.496828875,2.127121175,1.067086402,FBXO5,F-box protein 5
ENSCAFG00000000593,0.484343551,1.968420624,1.659645611,1.018817513,0.234787261,2.671209288,1.586540777,LMNB1,lamin B1
ENSCAFG00000000611,-0.261682132,-1.52656208,-0.289213345,0.941473906,-1.635914619,-2.65224673,-1.914976314,MEGF10,multiple EGF like domains 10
ENSCAFG00000000656,1.190069738,1.286937756,0.330465371,1.363488928,0.51869988,1.234043482,1.002095377,CTHRC1,collagen triple helix repeat containing 1
ENSCAFG00000000676,2.381172743,0.982714147,2.924793068,1.750875595,0.38157755,0.952022209,0.29194636,DPYS,dihydropyrimidinase
ENSCAFG00000000693,-2.123516934,-0.70300344,1.016382098,-1.175626549,-1.155536039,-0.953802671,-0.918202266,ANGPT1,angiopoietin 1
ENSCAFG00000000699,1.021272391,1.379235745,1.81043946,1.634313854,0.823560231,2.781845264,1.404387578,PANX2,pannexin 2
ENSCAFG00000000701,3.208044842,1.564484973,1.300611286,0.315888151,2.770713613,-0.305941347,1.546162415,LOC481722,complement C4-A
ENSCAFG00000000709,1.960441962,1.57167348,1.124694313,1.212004438,1.036889293,2.014479753,2.123735588,CRELD2,cysteine rich with EGF like domains 2
ENSCAFG00000000712,2.25519416,0.86510407,1.2835381,0.560799067,1.457339506,0.74643785,2.13317989,CYP21A2,cytochrome P450c21
ENSCAFG00000000741,-1.557809054,-2.060733412,-0.214509054,-0.901453631,-0.48165018,-1.4298186,-1.793617921,SYBU,syntabulin
ENSCAFG00000000770,-0.318295429,-0.268490556,-0.30690422,-0.244181694,-0.384480794,-0.207587318,-0.407165297,PACRG,parkin coregulated
ENSCAFG00000000782,1.539998759,2.321826985,2.157391481,2.354716665,1.466228098,3.01556653,1.747462758,GTSE1,G2 and S-phase expressed 1
ENSCAFG00000000785,-0.842095407,-0.00013217,-0.509142767,-0.545224548,-0.622606764,-0.415566406,-0.229691929,PKDREJ,polycystin family receptor for egg jelly
ENSCAFG00000000789,2.062022763,0.678775483,-0.669285647,-0.121073491,1.686935774,1.212898419,1.376011815,WNT7B,Wnt family member 7B
ENSCAFG00000000795,1.259758277,1.348408267,0.246975406,0.294768645,1.312087482,2.025482092,0.587551802,PDE10A,phosphodiesterase 10A
ENSCAFG00000000799,-0.686061543,-0.262081207,-0.026652468,-0.533766796,-1.094196618,-0.191803971,-0.331521398,ACSL6,acyl-CoA synthetase long chain family member 6
ENSCAFG00000000814,-0.183047634,3.404111231,1.492444808,0.7125189,2.08911153,0.681900146,1.029459864,LOC100856137,"HLA class II histocompatibility antigen, DQ beta 2 chain"
ENSCAFG00000000843,-1.46011394,-2.242160218,-1.193288514,-0.594725695,-0.717045012,-0.32438762,0.694581008,UPK3A,uroplakin 3A
ENSCAFG00000000860,-0.064617889,-1.63951403,-0.430942948,-0.058474951,-1.321311985,-1.815783449,-1.917890278,AFDN,"afadin, adherens junction formation factor"
ENSCAFG00000000874,1.350339024,2.610342429,-2.699897326,0.64260697,5.536664592,1.29024994,2.330292736,THBS2,thrombospondin 2
ENSCAFG00000000876,-0.171338773,2.10294377,0.929883679,0.882786526,1.217035706,0.165167823,0.076376206,PARVG,parvin gamma
ENSCAFG00000000882,0.290770046,0.697488106,1.814780504,0.727443321,0.270325832,1.43955234,0.836017837,DSCC1,DNA replication and sister chromatid cohesion 1
ENSCAFG00000000889,0.992146917,0.311136412,1.973553237,0.400788574,1.535746948,1.761962366,1.170466092,CALHM5,calcium homeostasis modulator family member 5
ENSCAFG00000000893,-0.264120061,-0.143180675,-0.516130618,-0.453662833,-0.249692588,-0.234309879,-0.555045827,PNPLA3,patatin like phospholipase domain containing 3
ENSCAFG00000000907,-3.200480982,-1.401742963,-1.706385654,-2.37712339,-1.953996669,-4.864607407,-1.708751742,SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1"
ENSCAFG00000000946,-0.875281842,-1.325394839,-2.984431787,-3.05000927,0.204279428,-2.402484461,-0.215899333,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
ENSCAFG00000000957,-0.177718114,-0.698384327,-1.44948853,-2.096001925,-1.225425853,1.363779215,-1.530148145,SNTB1,syntrophin beta 1
ENSCAFG00000000968,0.82957193,1.72633353,-0.143035966,1.261052653,1.430204191,-0.376792685,0.547608743,FSTL4,follistatin like 4
ENSCAFG00000000987,1.694608535,2.4455978,2.944884584,2.305142899,1.245416688,3.573081,1.635694369,KIFC1,kinesin family member C1
ENSCAFG00000000992,0.496979416,1.789191935,2.668126499,2.22152371,0.798749508,1.782911167,0.676899461,ATAD2,ATPase family AAA domain containing 2
ENSCAFG00000001002,-2.638196201,1.903379469,-1.968373698,-0.778258338,0.848400071,-4.783096621,-4.714363417,SMPDL3A,sphingomyelin phosphodiesterase acid like 3A
ENSCAFG00000001003,0.810583029,0.730378205,0.842019484,0.52879824,0.443095989,1.537755717,1.925305083,CENPM,centromere protein M
ENSCAFG00000001012,1.605462075,-1.432668027,-1.128332666,-1.069769697,-0.21610042,-1.095519768,-0.252178673,KLHL38,kelch like family member 38
ENSCAFG00000001015,-1.148763258,-1.195305188,-0.122414926,-0.606045655,-0.616881473,-0.908595992,0.182469483,ANXA13,annexin A13
ENSCAFG00000001022,0.294034901,1.211433211,0.678274785,1.000711668,0.360289484,1.66080505,0.963419267,BAK1,BCL2 antagonist/killer 1
ENSCAFG00000001029,-1.131074155,-1.303965194,-0.339549615,0.127872805,-1.635110079,-1.066519102,-1.949353709,TPD52L1,TPD52 like 1
ENSCAFG00000001056,0.635750461,1.589013209,2.786934992,0.249697855,0.003697881,2.427979096,-0.43174923,SQLE,squalene epoxidase
ENSCAFG00000001065,1.839913197,2.543548376,-0.189516044,0.467037594,0.332962871,2.264680354,3.857372301,PITX1,paired like homeodomain 1
ENSCAFG00000001067,0.229355205,-0.464200023,-2.038729352,-2.650983772,-0.731857734,1.420439581,-2.567399471,RSPO3,R-spondin 3
ENSCAFG00000001081,-0.42126999,1.453700101,1.267459934,0.387617584,0.293388097,0.693357043,0.630991555,TIFAB,TIFA inhibitor
ENSCAFG00000001092,-0.494005727,-1.83582103,-1.025906902,-1.184243184,-0.39771183,-0.681141419,-1.133566689,TOB2,"transducer of ERBB2, 2"
ENSCAFG00000001095,-1.377669449,-1.303324001,-1.170214401,-1.130445291,-0.849474948,-2.388388238,-1.34677345,TEF,"TEF transcription factor, PAR bZIP family member"
ENSCAFG00000001097,0.111943746,-0.05006752,-2.57950255,-0.64163407,-0.324181219,-0.490985378,-0.976474733,ADCY8,adenylate cyclase 8
ENSCAFG00000001101,-0.837913111,-1.179138874,-0.971849398,-1.847089597,-1.442318494,-1.389519187,-0.561621434,PTPRK,protein tyrosine phosphatase receptor type K
ENSCAFG00000001106,0.271661982,-0.962294618,-3.656798668,-3.556677868,0.055135112,-1.347866995,-1.011087046,LAMA2,laminin subunit alpha 2
ENSCAFG00000001131,0.318075617,1.901369777,0.627241388,0.367578175,1.518884131,-0.163804035,2.273746234,SLA,Src like adaptor
ENSCAFG00000001143,-0.973206196,-0.824394191,-1.071115964,-0.672428141,-0.406582073,-0.830008159,-0.329892448,MCHR1,melanin concentrating hormone receptor 1
ENSCAFG00000001178,-0.293500858,-2.897172749,0.710656773,-0.795117643,-0.728181189,-1.593655865,-2.969308351,COL22A1,collagen type XXII alpha 1 chain
ENSCAFG00000001188,-0.943483091,-0.201258224,-1.212256321,0.13028422,0.538082216,-1.301516969,-1.41468852,IP6K3,inositol hexakisphosphate kinase 3
ENSCAFG00000001201,-0.855494541,-0.130453207,-0.540957244,-0.54224167,-0.842747219,-0.923842984,-1.461711594,CDC14B,cell division cycle 14B
ENSCAFG00000001204,1.273936542,2.696918798,2.583182002,1.815395381,0.999694833,3.576952444,2.371068716,KIF20A,kinesin family member 20A
ENSCAFG00000001220,0.624734971,1.706009796,0.725279427,1.409365704,0.484552454,1.939765137,0.776953835,CDC25C,cell division cycle 25C
ENSCAFG00000001254,-0.835384889,-2.421669581,-0.907717962,-3.048223542,0.336538294,-4.003343228,-2.698020125,EGR1,early growth response 1
ENSCAFG00000001269,1.454970109,1.42279473,-0.81830166,0.766200913,2.894030157,1.315573742,2.730017714,ADGRB1,adhesion G protein-coupled receptor B1
ENSCAFG00000001292,-0.263855654,0.912252818,-0.401773126,-0.705827479,-0.876149607,-0.463151177,-0.378090523,LY6H,lymphocyte antigen 6 family member H
ENSCAFG00000001300,0.689967912,1.148574077,0.946868755,0.593224554,0.600725848,1.128853925,0.53828853,SLC35B4,solute carrier family 35 member B4
ENSCAFG00000001360,-0.452585255,-1.05666891,-0.717087851,-0.744790296,-0.72702458,-2.923682369,-2.119049393,CBX7,chromobox 7
ENSCAFG00000001362,-0.601208942,-0.255018602,-0.673976154,-1.734002552,0.022120572,-0.95221203,-1.011008575,PLXNA4,plexin A4
ENSCAFG00000001364,0.789979362,1.048334669,1.616320992,0.634069912,0.485156114,1.795164283,0.769844575,SRPK1,SRSF protein kinase 1
ENSCAFG00000001380,0.695709268,-2.274435322,-3.536413771,-3.654104295,0.423298466,-3.154985774,-0.786436207,NTRK2,neurotrophic receptor tyrosine kinase 2
ENSCAFG00000001436,-0.873558994,-2.395076481,-2.490514613,-1.268305463,-0.432255988,-0.945303345,-0.781866392,SOX10,SRY-box transcription factor 10
ENSCAFG00000001446,-0.402683075,-1.010605718,-1.548261864,-1.484175641,-0.70298472,-0.633230586,-0.412659738,FRMD3,FERM domain containing 3
ENSCAFG00000001448,0.770992385,2.818363278,0.706397307,0.187489272,0.713279487,0.422461391,0.865929807,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
ENSCAFG00000001450,2.019929302,3.618750226,-0.800251529,-0.394265203,2.895959133,2.352886365,1.880879902,MEST,mesoderm specific transcript
ENSCAFG00000001460,-3.601125147,-2.296658574,0.308619314,-0.724193191,-2.379604427,-1.705548754,-3.690375258,PTPRD,protein tyrosine phosphatase receptor type D
ENSCAFG00000001484,-0.475842345,-1.308016956,-0.551919707,-0.279886014,-0.56900101,0.278548767,-0.942778312,LGALS2,galectin 2
ENSCAFG00000001487,1.82398601,1.394404634,1.307645626,-0.633285617,1.847853297,2.502274643,2.422594757,LGALS1,galectin 1
ENSCAFG00000001502,0.086514661,-1.126834046,-1.848421499,-1.642124357,-0.255734838,-1.734569082,0.047732889,CARD10,caspase recruitment domain family member 10
ENSCAFG00000001537,-1.188652187,1.386994619,-1.456932257,-1.872834654,0.15434302,-1.02384926,-1.25504622,FREM1,FRAS1 related extracellular matrix 1
ENSCAFG00000001547,0.659876562,2.269095472,0.709999335,na,0.620145888,-0.232320212,1.11369723,GLP1R,glucagon like peptide 1 receptor
ENSCAFG00000001557,-0.68341164,-0.463883653,-0.264203698,-0.097650637,-0.733794685,-0.357173184,-1.005834866,CCDC171,coiled-coil domain containing 171
ENSCAFG00000001559,0.717043376,1.191169626,0.105932252,-0.261561508,1.505831364,0.652359712,1.137645306,NA,NA
ENSCAFG00000001560,-1.39514935,-0.688503684,1.905912291,0.288215521,-1.32810357,-0.903802435,-1.360649014,KIF6,kinesin family member 6
ENSCAFG00000001562,1.222453787,1.358349335,0.875291508,1.180164953,2.071250152,0.11846745,0.490429214,BNC2,basonuclin 2
ENSCAFG00000001569,1.843105443,2.964755399,2.161273541,1.723486875,1.323195717,2.619199441,1.377986887,RECQL4,RecQ like helicase 4
ENSCAFG00000001570,0.661543275,1.86119715,1.408961545,1.121041971,-0.827109794,1.68607204,1.416800688,PSAT1,phosphoserine aminotransferase 1
ENSCAFG00000001571,-0.036095954,4.703350452,0.330022426,0.941280534,0.235478769,1.395756726,0.215378163,LRFN2,leucine rich repeat and fibronectin type III domain containing 2
ENSCAFG00000001581,-1.358193167,-1.251435647,-2.055651869,-2.54777233,-2.019478915,-2.561088447,-1.171006852,ADAMTSL1,ADAMTS like 1
ENSCAFG00000001585,3.32322741,0.239839071,1.786181115,0.986295537,1.33384241,0.784851177,0.358537015,FLNC,filamin C
ENSCAFG00000001590,-0.468430786,-0.782971139,0.834741372,-0.515948259,-2.213189816,0.350131668,-0.975213335,SAXO1,stabilizer of axonemal microtubules 1
ENSCAFG00000001596,1.960251981,2.820593212,0.320926945,0.977175166,0.777053562,0.957368258,0.122815566,FOXP4,forkhead box P4
ENSCAFG00000001605,1.291172499,1.589858051,0.903405157,0.817317187,0.27308751,1.892610799,0.568438091,TOMM6,translocase of outer mitochondrial membrane 6
ENSCAFG00000001607,1.000461341,0.560806931,0.424286934,0.613749384,0.739849844,0.657542637,0.677143189,SLC39A4,solute carrier family 39 member 4
ENSCAFG00000001613,0.948824834,1.69518367,0.476694554,0.707155459,0.032394821,1.428587212,0.451939681,MED20,mediator complex subunit 20
ENSCAFG00000001614,1.35203546,1.724551423,0.353604225,0.7221514,0.398947679,2.028049516,1.354026491,BYSL,bystin like
ENSCAFG00000001621,1.686073782,2.259988655,2.124949696,1.996193254,1.211455478,2.410549526,0.783005942,TONSL,"tonsoku like, DNA repair protein"
ENSCAFG00000001652,-1.143003329,-0.347207593,-0.207923288,-0.909879375,-1.1032881,-1.584730335,-0.749145495,HACD4,3-hydroxyacyl-CoA dehydratase 4
ENSCAFG00000001672,-2.465245981,-1.995010454,-1.326408628,-4.32056744,-0.702344828,-0.797456563,-1.733689407,LEP,leptin
ENSCAFG00000001709,0.679597927,1.903874619,1.637870079,1.453500215,0.618916592,2.231701267,2.586222592,MCM5,minichromosome maintenance complex component 5
ENSCAFG00000001711,1.07129305,3.446495889,1.207649208,1.846550202,0.65574509,1.148147108,0.564151612,HMOX1,heme oxygenase 1
ENSCAFG00000001715,-1.146303638,-1.468294065,0.168703463,-1.527314302,-1.21892186,-0.717697275,-0.843783377,MOB3B,MOB kinase activator 3B
ENSCAFG00000001745,1.081616028,1.441482791,0.537211333,0.434808449,0.234533329,1.481672425,0.212356188,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit
ENSCAFG00000001763,1.795103088,0.808471749,1.305838945,0.485176233,0.269129292,1.174586774,1.10467001,RRP36,ribosomal RNA processing 36
ENSCAFG00000001792,-3.191771303,-2.498193521,0.064493268,-2.493238278,-2.272444278,-2.528932662,-2.474439681,LIMCH1,LIM and calponin homology domains 1
ENSCAFG00000001796,0.539722687,0.921158449,1.439869776,0.95307797,-0.215943034,1.388342995,0.7925932,TMEM33,transmembrane protein 33
ENSCAFG00000001814,2.532419514,1.77926966,0.819332298,2.02154186,0.852933421,0.844290998,1.332164498,PTK7,protein tyrosine kinase 7 (inactive)
ENSCAFG00000001825,1.672100875,1.666561323,0.372920984,1.270384019,1.396149091,1.378017903,0.832261557,CEMIP2,cell migration inducing hyaluronidase 2
ENSCAFG00000001833,-0.981294505,-0.553237535,-1.605587993,0.736476391,-0.649092753,-2.81599049,-1.575385546,ABCB4,ATP binding cassette subfamily B member 4
ENSCAFG00000001835,1.698418389,-1.467817051,-1.769576553,-1.683163573,-2.127369028,-2.008178768,-2.781556672,ABCB1,ATP binding cassette subfamily B member 1
ENSCAFG00000001837,2.975948592,2.508413152,2.280435601,1.473016002,1.144794298,3.412358425,2.049629821,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
ENSCAFG00000001854,-2.817433163,-1.588033569,-1.98588499,-2.849841973,-1.932278036,-1.392760695,-2.594488859,AQP7,aquaporin 7
ENSCAFG00000001858,2.303286476,0.652695489,0.504152439,1.124113698,-0.01931072,1.446978288,-0.196496092,DLK2,delta like non-canonical Notch ligand 2
ENSCAFG00000001862,0.931339232,0.907362562,0.356938668,0.312885198,1.351381304,1.914063107,1.433966586,ZNF804B,zinc finger protein 804B
ENSCAFG00000001866,0.792635364,0.488020779,0.770633916,-0.222899409,2.623157307,1.55892373,1.382322944,STEAP1,STEAP family member 1
ENSCAFG00000001867,-0.240804531,-1.74817134,-1.830273299,-1.601780917,-0.652464338,-1.369655383,-0.280374053,KLF9,Kruppel like factor 9
ENSCAFG00000001870,0.013468148,0.621471983,-0.129152572,0.290975065,1.459364164,0.666515489,1.369818875,STEAP2,STEAP2 metalloreductase
ENSCAFG00000001872,1.476156898,0.981861849,1.048826114,0.791140743,0.482035928,0.94260543,0.723220489,POLR1C,RNA polymerase I and III subunit C
ENSCAFG00000001873,-1.103146536,-0.813547484,-0.251410178,-0.414670265,-0.89412231,-1.658069667,-0.558096627,TCP11L2,t-complex 11 like 2
ENSCAFG00000001875,1.160631411,1.62856577,0.355505176,1.292938552,0.672455365,2.13711072,2.586117933,CKAP4,cytoskeleton associated protein 4
ENSCAFG00000001883,-1.406455856,-0.217563133,-1.318250813,-0.073916669,-2.589041977,0.298489044,-0.662961178,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
ENSCAFG00000001886,2.04436326,0.909688652,0.854257818,0.426917217,0.450403219,1.93367551,1.026383803,LOC607182,heat shock cognate 71 kDa protein-like
ENSCAFG00000001907,-1.471939409,-1.251670223,-1.560620933,-0.103119327,0.440183785,-0.284379893,-0.765093257,CORIN,"corin, serine peptidase"
ENSCAFG00000001910,1.54599452,0.852188771,0.993519602,1.786371527,0.482080627,1.440796559,0.959846825,POLH,DNA polymerase eta
ENSCAFG00000001911,0.921479155,1.530369656,0.170759542,0.380916936,0.425734258,1.822608295,1.437643932,ALDH1L2,aldehyde dehydrogenase 1 family member L2
ENSCAFG00000001927,0.467484915,-0.619857425,-1.082802882,-0.87213237,-0.02814701,-1.030936088,-0.70161625,TMEM252,transmembrane protein 252
ENSCAFG00000001932,-2.228338894,-2.403977068,-3.30441452,-3.742741645,-0.053838172,-0.86504721,-1.97625799,CNTFR,ciliary neurotrophic factor receptor
ENSCAFG00000001945,0.612267496,1.05887588,2.158421839,0.119608068,0.030269844,1.940822734,0.493319131,CYP51A1,cytochrome P450 family 51 subfamily A member 1
ENSCAFG00000001949,-0.378169395,-0.712578453,-1.279782886,-0.989094843,-0.063715333,0.270088421,-1.038479249,NA,NA
ENSCAFG00000001974,-0.40857703,-0.549358986,0.364800184,-2.071223153,-1.722946962,-3.240924266,-1.370872907,KANK1,KN motif and ankyrin repeat domains 1
ENSCAFG00000001989,1.872377724,1.366036015,1.218214448,1.273894801,0.711750594,1.627194984,0.536197738,AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
ENSCAFG00000001998,1.074344657,0.466312318,0.865813462,0.622678732,0.386283792,0.194496611,0.405962293,CDK6,cyclin dependent kinase 6
ENSCAFG00000002002,2.011518067,0.020636836,1.89567391,1.077217789,-0.062832919,1.628000408,0.198776874,SUPT3H,"SPT3 homolog, SAGA and STAGA complex component"
ENSCAFG00000002016,-0.829332735,0.676152705,-0.880867465,-1.739606257,-0.065289649,-2.56919431,-2.840943666,CLIC5,chloride intracellular channel 5
ENSCAFG00000002023,0.059404824,-0.240954209,-1.561900794,-1.369250594,-0.267685706,-1.831655621,-0.926023463,RCAN2,regulator of calcineurin 2
ENSCAFG00000002029,-1.109738569,-1.916673518,0.363774897,1.102752237,-0.601076632,-2.78972777,-2.879194258,SLC25A27,solute carrier family 25 member 27
ENSCAFG00000002033,-3.574505742,-1.894158504,-1.999173401,-2.5376633,-1.674203236,-2.457357761,-1.555837577,CALCR,calcitonin receptor
ENSCAFG00000002037,1.271801734,2.412530691,2.699154385,1.343697917,1.451505365,0.313683695,2.967814032,PLA2G7,phospholipase A2 group VII
ENSCAFG00000002040,0.742785683,1.249215817,5.923194187,2.998133578,0.524790211,4.497760448,4.684606363,TFPI2,tissue factor pathway inhibitor 2
ENSCAFG00000002049,-0.285136937,-1.350518842,-0.908862915,-0.856375309,-0.349862029,-2.05609574,-0.948857493,RUSC2,RUN and SH3 domain containing 2
ENSCAFG00000002053,1.085395412,1.014256397,0.684791631,0.875131496,0.212436563,0.455327281,-0.087185992,RFX3,regulatory factor X3
ENSCAFG00000002054,-0.095528733,-0.384500873,-1.368688368,-1.720726455,-1.209543718,-3.018985572,-0.664916709,ADGRF5,adhesion G protein-coupled receptor F5
ENSCAFG00000002073,0.894992185,2.044712486,2.713100214,1.887712585,1.463627949,2.37346704,0.558372182,ARHGEF39,Rho guanine nucleotide exchange factor 39
ENSCAFG00000002078,-1.319768179,-0.452264281,-1.642433861,-1.323900089,-0.508760876,-2.44305891,1.16310813,NA,NA
ENSCAFG00000002080,1.320113612,0.937648579,0.440869331,-0.320353683,0.4985498,2.178377305,0.339283201,ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"
